Docket Number,Violation Number,Issued_Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
22CP008235,P005816668|P005816669,5/27/2022,POLICE,8/5/2022 13:00,10625 S PERRY ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"FANNIE MAE, ",City non-suit,0,0,0,0,0,0,0,0,41.70079706,-87.62557829,POINT (-87.625578292702 41.7007970633651)
22CP008231,P005816622|P005816623,6/1/2022,POLICE,8/5/2022 13:00,235 W 104TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.7051549,-87.62950106,POINT (-87.62950106077976 41.705154895878806)
22CP008602,P006068271|P006068272|P006068273|P006068274|P006068275|P006068276,6/13/2022,POLICE,8/5/2022 9:00,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITI BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.7718689,-87.68178961,POINT (-87.68178960948111 41.7718689046202)
22CP008601,P006067749|P006067749|P006067750|P006067750|P006067751|P006067751|P006067752|P006067752|P006067753|P006067753|P006067754|P006067754,6/13/2022,POLICE,8/5/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP008600,P006067755|P006067756|P006067757|P006067758|P006067759|P006067760,6/13/2022,POLICE,8/5/2022 9:00,3527 W 58TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0,0,0,0,0,0,0,0,41.7878233,-87.71183856,POINT (-87.71183855914205 41.787823300913594)
22CP008218,P005998341|P005998342,6/14/2022,POLICE,10/7/2022 13:00,4926 W HUBBARD ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST COMPANY, ",City non-suit,0,0,0,0,0,0,0,0,41.88876733,-87.7491413,POINT (-87.74914130473827 41.88876733041007)
22CP008865,P006064161|P006064162|P006064163|P006064307,6/19/2022,POLICE,9/2/2022 9:00,613 W 46TH PL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TR CO, ",City non-suit,0,0,0,0,0,0,0,0,41.80974713,-87.64127493,POINT (-87.64127493428768 41.80974713196133)
22CP008631,P006068328|P006068329|P006068330|P006068346|P006068347|P006068348,6/20/2022,POLICE,8/5/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
22CP008852,P006088333|P006088334|P006088335|P006088336|P006088337|P006088338,7/7/2022,POLICE,9/2/2022 9:00,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0,0,0,0,0,0,0,0,41.80125559,-87.64274049,POINT (-87.64274049287219 41.80125558654073)
22CP009262,P006068247|P006068248|P006068249|P006068250|P006068251|P006068252,7/12/2022,POLICE,9/2/2022 9:00,232 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0,0,0,0,0,0,0,0,41.77279939,-87.63139915,POINT (-87.63139915385585 41.77279938907583)
22CP009262,P006068247|P006068248|P006068249|P006068250|P006068251|P006068252,7/12/2022,POLICE,9/2/2022 9:00,2321 W MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CITIBANK, ",City non-suit,0,0,0,0,0,0,0,0,41.7718689,-87.68178961,POINT (-87.68178960948111 41.7718689046202)
22CP009257,P006068265|P006068266|P006068267|P006068268|P006068269|P006068270,7/12/2022,POLICE,9/2/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
